5001,T-shirt,White,yxsm,8,5
5003,Sweatshirt,Green,ylg,20,2
5006,T-shirt,White,ymed,10,4
5007,Jersey,Green,lxl,20,2
5008,Sweatshirt,Green,yxl,22,2
5011,T-shirt,White,ylg,10,8
5012,Jersey,Green,mmed,25,2
5013,Sweatshirt,Green,llg,25,5
5016,T-shirt,White,yxl,12,5
5017,Jersey,Green,mlg,30,5
5018,Sweatshirt,Green,lxl,28,5
5021,T-shirt,White,lxsm,16,12
5022,Jersey,Green,mxl,35,6
5023,Sweatshirt,Green,mmed,30,10
5027,Jersey,Green,mxxl,40,6
5028,Sweatshirt,Green,mlg,31,10
5031,T-shirt,White,lmed,16,20
5032,Jersey,Green,mxxxl,40,8
5033,Sweatshirt,Green,mxl,33,15
5037,Jersey,Green,mxxxxl,40,8
5038,Sweatshirt,Green,mxxl,35,16
5041,T-shirt,White,mxxl,22,21
5042,Jersey,Green,yxl,15,0
5043,Sweatshirt,Green,mxxxl,38,15
5046,T-shirt,White,mxl,20,22
5048,Sweatshirt,Green,mxxxxl,40,16
5051,T-shirt,White,mmed,20,15
5053,Sweatshirt,Pink,ylg,20,4
5056,T-shirt,White,msm,20,10
5058,Sweatshirt,Pink,yxl,22,4
5061,T-shirt,White,ysm,10,6
5063,Sweatshirt,Pink,llg,25,10
5068,Sweatshirt,Pink,lxl,28,10
5073,Sweatshirt,Pink,mmed,30,20
5078,Sweatshirt,Pink,mlg,31,20
5081,T-shirt,White,lxl,18,21
5083,Sweatshirt,Pink,mxl,33,30
5086,T-shirt,White,lsm,16,13
5088,Sweatshirt,Pink,mxxl,35,32
5093,Sweatshirt,Pink,mxxxl,38,30
5096,T-shirt,White,llg,16,15
5098,Sweatshirt,Pink,mxxxxl,40,36
5101,T-shirt,White,mxxxxl,24,18
5103,Sweatshirt,Yellow,ylg,20,2
5106,T-shirt,White,mlg,20,20
5108,Sweatshirt,Yellow,yxl,22,2
5111,T-shirt,White,mxxxl,23,24
5113,Sweatshirt,Yellow,llg,25,5
5118,Sweatshirt,Yellow,lxl,28,5
5122,Jersey,Yellow,yxl,25,3
5123,Sweatshirt,Yellow,mmed,30,10
5127,Jersey,Yellow,yl,25,3
5128,Sweatshirt,Yellow,mlg,31,10
5132,Jersey,Yellow,llg,30,5
5133,Sweatshirt,Yellow,mxl,33,15
5137,Jersey,Yellow,lxl,30,5
5138,Sweatshirt,Yellow,mxxl,35,16
5141,T-shirt,Yellow,lmed,15,5
5142,Jersey,Yellow,mlg,35,5
5143,Sweatshirt,Yellow,mxxxl,38,15
5146,T-shirt,Yellow,yxlg,10,5
5147,Jersey,Yellow,mxl,35,5
5148,Sweatshirt,Yellow,mxxxxl,40,18
5151,T-shirt,Yellow,ymed,10,5
5152,Jersey,Yellow,mxxl,35,8
5153,Sweatshirt,Blue,ylg,20,2
5156,T-shirt,Yellow,yxsm,10,5
5157,Jersey,Yellow,mxxxl,40,8
5158,Sweatshirt,Blue,yxl,22,2
5161,T-shirt,Yellow,mxxl,18,10
5162,Jersey,Yellow,mxxxxl,40,8
5163,Sweatshirt,Blue,llg,25,5
5166,T-shirt,Yellow,llg,15,5
5168,Sweatshirt,Blue,lxl,28,5
5171,T-shirt,Yellow,lxl,15,5
5173,Sweatshirt,Blue,mmed,30,10
5176,T-shirt,Yellow,mlg,18,10
5178,Sweatshirt,Blue,mlg,31,10
5183,Sweatshirt,Blue,mxl,33,15
5188,Sweatshirt,Blue,mxxl,35,16
5193,Sweatshirt,Blue,mxxxl,38,15
5196,T-shirt,Yellow,mxxxxl,18,10
5198,Sweatshirt,Blue,mxxxxl,40,18
5201,T-shirt,Yellow,lsm,15,5
5203,Sweatshirt,White,ylg,20,2
5206,T-shirt,Yellow,lxsm,15,5
5208,Sweatshirt,White,yxl,22,2
5211,T-shirt,Yellow,ylg,10,5
5213,Sweatshirt,White,llg,25,5
5216,T-shirt,Yellow,ysm,10,5
5218,Sweatshirt,White,lxl,28,5
5221,T-shirt,Yellow,mxxxl,18,10
5223,Sweatshirt,White,mmed,30,10
5226,T-shirt,Yellow,mxl,18,10
5228,Sweatshirt,White,mlg,31,10
5231,T-shirt,Yellow,msm,18,5
5233,Sweatshirt,White,mxl,33,15
5236,T-shirt,Yellow,mmed,18,5
5238,Sweatshirt,White,mxxl,35,16
5241,T-shirt,Blue,yxsm,10,5
5242,Jersey,Pink,ylg,20,10
5243,Sweatshirt,White,mxxxl,38,15
5246,T-shirt,Blue,ymed,10,5
5247,Jersey,Pink,yxl,20,10
5248,Sweatshirt,White,mxxxxl,40,18
5251,T-shirt,Blue,ylg,10,5
5252,Jersey,Pink,llg,22,10
5256,T-shirt,Blue,mxxxxl,25,30
5257,Jersey,Pink,lxl,22,10
5261,T-shirt,Blue,lxl,16,25
5262,Jersey,Pink,mlg,25,10
5266,T-shirt,Blue,lxsm,16,5
5267,Jersey,Pink,mxl,25,8
5271,T-shirt,Blue,lmed,16,10
5272,Jersey,Pink,mxxl,25,5
5276,T-shirt,Blue,msm,20,20
5277,Jersey,Pink,mxxxl,25,5
5281,T-shirt,Blue,mxxxl,25,30
5286,T-shirt,Blue,mxl,20,30
5291,T-shirt,Blue,mmed,20,20
5296,T-shirt,Blue,mlg,20,28
5301,T-shirt,Blue,ysm,10,5
5311,T-shirt,Blue,yxl,10,5
5326,T-shirt,Blue,lsm,16,5
5331,T-shirt,Blue,llg,16,20
5346,T-shirt,Blue,mxxl,25,30